epoch,eval/knn_probe_top1,eval/linear_probe_top1_epoch,eval/linear_probe_top1_step,eval/linear_probe_top5_epoch,eval/linear_probe_top5_step,fit/inv_epoch,fit/inv_step,fit/loss_epoch,fit/loss_step,fit/sigreg_epoch,fit/sigreg_step,hparams/lr_default_0,hparams/lr_linear_probe,lr-AdamW,lr-AdamW-1,queue/embedding_fill_pct,queue/label_fill_pct,rankme,rankme/condition_number,rankme/entropy,rankme/top_singular_value,step,swa/n_averaged,train/linear_probe_loss_epoch,train/linear_probe_loss_step,validate/inv_epoch,validate/inv_step,validate/loss_epoch,validate/loss_step,validate/sigreg_epoch,validate/sigreg_step
,,,0.0693359375,,0.9296875,,,,,,,,,,,1.0,1.0,,,,,92,,,,,0.0,,0.0,,0.0
,,,0.0651041641831398,,0.9609375,,,,,,,,,,,1.0,1.0,,,,,93,,,,,0.0,,0.0,,0.0
,,,0.15506312251091003,,0.8962229490280151,,,,,,,,,,,1.0,1.0,,,,,94,,,,,0.0,,0.0,,0.0
,,,0.0703125,,0.8359375,,,,,,,,,,,1.0,1.0,,,,,95,,,,,0.0,,0.0,,0.0
,,,0.04921875149011612,,0.8515625,,,,,,,,,,,1.0,1.0,,,,,96,,,,,0.0,,0.0,,0.0
,,,0.050961535423994064,,0.6987179517745972,,,,,,,,,,,1.0,1.0,,,,,97,,,,,0.0,,0.0,,0.0
,,,0.001953125,,0.75,,,,,,,,,,,1.0,1.0,,,,,98,,,,,0.0,,0.0,,0.0
,,,0.0017361111240461469,,0.703125,,,,,,,,,,,1.0,1.0,,,,,99,,,,,0.0,,0.0,,0.0
,,,0.011921098455786705,,0.6530874967575073,,,,,,,,,,,1.0,1.0,,,,,100,,,,,0.0,,0.0,,0.0
,,,0.01328125037252903,,0.4375,,,,,,,,,,,1.0,1.0,,,,,101,,,,,0.0,,0.0,,0.0
,,,0.00937500037252903,,0.5078125,,,,,,,,,,,1.0,1.0,,,,,102,,,,,0.0,,0.0,,0.0
,,,0.01822916604578495,,0.5625,,,,,,,,,,,1.0,1.0,,,,,103,,,,,0.0,,0.0,,0.0
,,,0.07644444704055786,,0.9480000138282776,,,,,,,,,,,1.0,1.0,,,,,104,,,,,0.0,,0.0,,0.0
