import time: self [us] | cumulative | imported package
import time:      1701 |       1701 |             antlr4.tree.RuleTagToken
import time:      1939 |       1939 |             antlr4.tree.TokenTagToken
import time:      2261 |       9702 |           antlr4.tree.ParseTreePatternMatcher
import time:      2295 |      24625 |         antlr4.Parser
import time:      1743 |       1743 |         antlr4.dfa.DFA
import time:      2338 |       2338 |           antlr4.atn.PredictionMode
import time:      2669 |       5007 |         antlr4.atn.ParserATNSimulator
import time:      2584 |       2584 |         antlr4.error.DiagnosticErrorListener
import time:      3201 |     130614 |       antlr4
import time:      2820 |       2820 |           yaml.error
import time:      2087 |       2087 |           yaml.tokens
import time:      1943 |       1943 |           yaml.events
import time:      2008 |       2008 |           yaml.nodes
import time:      5947 |       5947 |             yaml.reader
import time:      3234 |       3234 |             yaml.scanner
import time:      1761 |       1761 |             yaml.parser
import time:      1744 |       1744 |             yaml.composer
import time:      3043 |       3043 |             yaml.constructor
import time:      3088 |       3088 |             yaml.resolver
import time:      5315 |      24130 |           yaml.loader
import time:      1685 |       1685 |             yaml.emitter
import time:      8836 |       8836 |             yaml.serializer
import time:      2106 |       2106 |             yaml.representer
import time:      2238 |      14863 |           yaml.dumper
import time:      1269 |       1269 |             yaml._yaml
import time:      1766 |       3035 |           yaml.cyaml
import time:      4407 |      55289 |         yaml
import time:      2364 |       2364 |         omegaconf.errors
import time:      2403 |       2403 |                 omegaconf.grammar
import time:      3557 |       5959 |               omegaconf.grammar.gen
import time:      7107 |      13065 |             omegaconf.grammar.gen.OmegaConfGrammarLexer
import time:      3533 |       3533 |             omegaconf.grammar.gen.OmegaConfGrammarParser
import time:      1925 |       1925 |             omegaconf.grammar.gen.OmegaConfGrammarParserVisitor
import time:      2036 |      20558 |           omegaconf.grammar_visitor
import time:      2355 |      22912 |         omegaconf.grammar_parser
import time:      1476 |       1476 |             attr._compat
import time:       165 |        165 |               unicodedata
import time:      1735 |       1735 |               attr._config
import time:      1659 |       1659 |                 attr.exceptions
import time:      1701 |       3360 |               attr.setters
import time:      5836 |      11094 |             attr._make
import time:      2812 |      15381 |           attr.converters
import time:      2100 |       2100 |           attr.filters
import time:      7785 |       7785 |           attr.validators
import time:      2061 |       2061 |           attr._cmp
import time:      1636 |       1636 |           attr._funcs
import time:      1714 |       1714 |           attr._next_gen
import time:      2369 |       2369 |           attr._version_info
import time:      3813 |      36856 |         attr
import time:      3371 |     120790 |       omegaconf._utils
import time:      5075 |     258752 |     omegaconf.base
import time:      2209 |       2209 |       omegaconf.basecontainer
import time:      2528 |       2528 |       omegaconf.nodes
import time:      5488 |      10223 |     omegaconf.dictconfig
import time:      2323 |       2323 |     omegaconf.listconfig
import time:      5536 |       5536 |           omegaconf.resolvers.oc.dict
import time:      3644 |       9179 |         omegaconf.resolvers.oc
import time:      2316 |      11495 |       omegaconf.resolvers
import time:      3070 |      14565 |     omegaconf.omegaconf
import time:      1870 |       1870 |     omegaconf.version
import time:      5675 |     293406 |   omegaconf
import time:      1539 |       1539 |     stable_pretraining._version
import time:      3408 |       4946 |   stable_pretraining.__about__
import time:       409 |        409 |           _winapi
import time:       403 |        403 |           winreg
import time:       641 |       1451 |         mimetypes
import time:       921 |        921 |           _queue
import time:       526 |       1446 |         queue
import time:      3374 |       6271 |       stable_pretraining.utils.gdrive_utils
import time:       760 |        760 |             _ctypes
import time:       309 |        309 |             ctypes._endian
import time:      2584 |       3653 |           ctypes
import time:      4352 |       4352 |           typing_extensions
import time:      3785 |       3785 |           torch._utils
import time:        41 |         41 |                   _bisect
import time:       359 |        399 |                 bisect
import time:        39 |         39 |                 _random
import time:        49 |         49 |                 _sha512
import time:       841 |       1326 |               random
import time:       813 |       2139 |             tempfile
import time:      3160 |       3160 |               torch._strobelight
import time:        59 |         59 |                   gc
import time:       560 |        618 |                 timeit
import time:      2254 |       2872 |               torch._strobelight.cli_function_profiler
import time:      2382 |       8413 |             torch._strobelight.compile_time_profiler
import time:      2675 |      13227 |           torch._utils_internal
import time:      3178 |       3178 |                 torch._vendor
import time:      3501 |       6679 |               torch._vendor.packaging
import time:      2223 |       2223 |               torch._vendor.packaging._structures
import time:      6085 |      14985 |             torch._vendor.packaging.version
import time:      2246 |       2246 |             torch.version
import time:      2138 |      19368 |           torch.torch_version
import time:      2030 |       2030 |               numpy.version
import time:      1399 |       1399 |               numpy._expired_attrs_2_0
import time:      2746 |       2746 |                   numpy._utils._convertions
import time:      2129 |       4874 |                 numpy._utils
import time:      2050 |       6923 |               numpy._globals
import time:        81 |         81 |                 numpy._distributor_init_local
import time:      1521 |       1601 |               numpy._distributor_init
import time:      8542 |       8542 |                         numpy.exceptions
import time:      2668 |       2668 |                         numpy._core._exceptions
import time:      2317 |       2317 |                         numpy._core.printoptions
import time:      2136 |       2136 |                         numpy.dtypes
import time:     34509 |      50171 |                       numpy._core._multiarray_umath
import time:      1726 |       1726 |                         numpy._utils._inspect
import time:      2242 |       3967 |                       numpy._core.overrides
import time:     92196 |     146333 |                     numpy._core.multiarray
import time:      2315 |       2315 |                     numpy._core.umath
import time:      1430 |       1430 |                       numpy._core._dtype
import time:      1809 |       1809 |                       numpy._core._string_helpers
import time:      1624 |       1624 |                       numpy._core._type_aliases
import time:      2101 |       6961 |                     numpy._core.numerictypes
import time:      8601 |       8601 |                             numpy._core._methods
import time:      2938 |      11539 |                           numpy._core.fromnumeric
import time:      1887 |      13425 |                         numpy._core.shape_base
import time:      2010 |       2010 |                         numpy._core._ufunc_config
import time:      1715 |       1715 |                         numpy._core._asarray
import time:      2819 |       2819 |                         numpy._core.arrayprint
import time:      2939 |      22906 |                       numpy._core.numeric
import time:      1902 |      24808 |                     numpy._core.einsumfunc
import time:      1908 |       1908 |                     numpy._core.function_base
import time:      2436 |       2436 |                     numpy._core.getlimits
import time:      7182 |       7182 |                     numpy._core.memmap
import time:     12371 |      12371 |                     numpy._core.records
import time:     12149 |      12149 |                     numpy._core._add_newdocs
import time:      2819 |       2819 |                     numpy._core._add_newdocs_scalars
import time:      1824 |       1824 |                     numpy._core._dtype_ctypes
import time:      8298 |       8298 |                     numpy._core._internal
import time:      7921 |       7921 |                     numpy._pytesttester
import time:      7326 |     244647 |                   numpy._core
import time:       125 |     244771 |                 numpy._core._multiarray_umath
import time:      1950 |     246720 |               numpy.__config__
import time:      4899 |       4899 |                                 numpy._typing._nbit_base
import time:      2375 |       2375 |                                 numpy._typing._nested_sequence
import time:      1896 |       1896 |                                 numpy._typing._shape
import time:      9462 |      18630 |                               numpy._typing._array_like
import time:      4065 |       4065 |                               numpy._typing._char_codes
import time:     34051 |      34051 |                               numpy._typing._dtype_like
import time:      5659 |       5659 |                               numpy._typing._nbit
import time:      2178 |       2178 |                               numpy._typing._scalars
import time:      5104 |       5104 |                               numpy._typing._ufunc
import time:      2721 |      72406 |                             numpy._typing
import time:      5213 |       5213 |                               numpy.lib._stride_tricks_impl
import time:      2302 |       7515 |                             numpy.lib._twodim_base_impl
import time:      2319 |       2319 |                               numpy.lib._array_utils_impl
import time:      2059 |       4377 |                             numpy.lib.array_utils
import time:      1874 |       1874 |                             numpy.linalg._umath_linalg
import time:      4239 |      90409 |                           numpy.linalg._linalg
import time:      2493 |      92902 |                         numpy.linalg
import time:      2584 |      95485 |                       numpy.matrixlib.defmatrix
import time:      2222 |      97706 |                     numpy.matrixlib
import time:      1533 |       1533 |                       numpy.lib._histograms_impl
import time:      2755 |       4287 |                     numpy.lib._function_base_impl
import time:      3036 |     105029 |                   numpy.lib._index_tricks_impl
import time:      3435 |     108463 |                 numpy.lib._arraypad_impl
import time:      1821 |       1821 |                 numpy.lib._arraysetops_impl
import time:      1863 |       1863 |                 numpy.lib._arrayterator_impl
import time:      1721 |       1721 |                 numpy.lib._nanfunctions_impl
import time:      1553 |       1553 |                       numpy.lib._utils_impl
import time:      1463 |       3015 |                     numpy.lib._format_impl
import time:      1686 |       4701 |                   numpy.lib.format
import time:      6522 |       6522 |                   numpy.lib._datasource
import time:      1657 |       1657 |                   numpy.lib._iotools
import time:      1977 |      14855 |                 numpy.lib._npyio_impl
import time:      1532 |       1532 |                     numpy.lib._ufunclike_impl
import time:      1818 |       3349 |                   numpy.lib._type_check_impl
import time:      1864 |       5213 |                 numpy.lib._polynomial_impl
import time:      1689 |       1689 |                 numpy.lib._shape_base_impl
import time:      1391 |       1391 |                 numpy.lib._version
import time:      1281 |       1281 |                 numpy.lib.introspect
import time:      1381 |       1381 |                 numpy.lib.mixins
import time:      3848 |       3848 |                 numpy.lib.npyio
import time:      1833 |       1833 |                   numpy.lib._scimath_impl
import time:      2084 |       3917 |                 numpy.lib.scimath
import time:      5139 |       5139 |                 numpy.lib.stride_tricks
import time:      5086 |     157661 |               numpy.lib
import time:      1795 |       1795 |               numpy._array_api_info
import time:      5946 |     424072 |             numpy
import time:    746658 |    1170729 |           torch._C
import time:     17641 |      17641 |             torch._namedtensor_internals
import time:      3920 |       3920 |             torch.overrides
import time:      2730 |      24290 |           torch._tensor
import time:      1884 |       1884 |             torch.types
import time:      2692 |       4575 |           torch.storage
import time:      2050 |       2050 |             torch.amp.autocast_mode
import time:      1591 |       1591 |             torch.amp.grad_scaler
import time:      2244 |       5884 |           torch.amp
import time:      1247 |       1247 |           torch.random
import time:       641 |        641 |             difflib
import time:        63 |         63 |               pwd
import time:        35 |         35 |               grp
import time:      1231 |       1329 |             tarfile
import time:      1478 |       1478 |             torch._weights_only_unpickler
import time:      1639 |       1639 |             torch._sources
import time:       295 |        295 |             mmap
import time:      6270 |      11649 |           torch.serialization
import time:      2075 |       2075 |           torch._tensor_str
import time:      1855 |       1855 |             torch.cuda.gds
import time:     12129 |      12129 |             torch.cuda._utils
import time:      2150 |       2150 |             torch.cuda.graphs
import time:      2982 |       2982 |             torch.cuda.streams
import time:       272 |        272 |             pynvml
import time:      2976 |       2976 |               torch.cuda._memory_viz
import time:      7196 |      10171 |             torch.cuda.memory
import time:      2050 |       2050 |             torch.cuda.random
import time:      5507 |       5507 |               torch.cuda.amp.autocast_mode
import time:      2460 |       2460 |               torch.cuda.amp.common
import time:      1863 |       1863 |               torch.cuda.amp.grad_scaler
import time:      2371 |      12199 |             torch.cuda.amp
import time:      1984 |       1984 |             torch.cuda.jiterator
import time:      1518 |       1518 |             torch.cuda.nvtx
import time:      2711 |       2711 |             torch.cuda.profiler
import time:      1593 |       1593 |             torch.cuda.sparse
import time:      2382 |       2382 |             torch.cuda.tunable
import time:     15584 |      69574 |           torch.cuda
import time:      1600 |       1600 |               torch.sparse._semi_structured_conversions
import time:      1808 |       1808 |               torch.sparse._semi_structured_ops
import time:      3142 |       6549 |             torch.sparse.semi_structured
import time:      5108 |      11657 |           torch.sparse
import time:      1618 |       1618 |           torch._compile
import time:      1470 |       1470 |           torch._VF
import time:      2522 |       2522 |                 torch.nn.parameter
import time:      4624 |       4624 |                     torch._prims_common
import time:      3946 |       3946 |                         torch.utils.backcompat
import time:      4462 |       4462 |                         torch.utils.collect_env
import time:       921 |        921 |                                 cmd
import time:       474 |        474 |                                 bdb
import time:       272 |        272 |                                   codeop
import time:       364 |        635 |                                 code
